country,subnational1,threshold,area_ha,extent_2000_ha,extent_2010_ha,gain_2000-2020_ha,tc_loss_ha_2001,tc_loss_ha_2002,tc_loss_ha_2003,tc_loss_ha_2004,tc_loss_ha_2005,tc_loss_ha_2006,tc_loss_ha_2007,tc_loss_ha_2008,tc_loss_ha_2009,tc_loss_ha_2010,tc_loss_ha_2011,tc_loss_ha_2012,tc_loss_ha_2013,tc_loss_ha_2014,tc_loss_ha_2015,tc_loss_ha_2016,tc_loss_ha_2017,tc_loss_ha_2018,tc_loss_ha_2019,tc_loss_ha_2020,tc_loss_ha_2021,tc_loss_ha_2022,tc_loss_ha_2023
South Korea,Busan,0,68591,68591,68591,791,13,101,63,127,94,111,76,257,192,191,112,127,111,114,107,165,124,66,37,38,13,10,24
South Korea,Busan,10,68591,30872,29895,791,11,85,56,95,72,96,61,208,159,147,84,97,95,105,99,124,101,60,32,35,10,7,14
South Korea,Busan,15,68591,30268,29239,791,11,83,55,92,70,93,60,205,156,145,81,95,94,104,98,120,100,59,32,34,9,7,13
South Korea,Busan,20,68591,29926,29118,791,11,81,53,87,66,91,56,196,152,140,77,93,93,104,97,119,98,58,31,34,9,7,13
South Korea,Busan,25,68591,29524,28922,791,11,80,52,83,64,90,54,192,146,136,75,91,93,102,96,116,96,57,31,34,9,7,13
South Korea,Busan,30,68591,29066,28492,791,10,79,51,83,64,89,53,190,144,135,74,90,91,101,95,112,94,57,30,34,9,6,12
South Korea,Busan,50,68591,25789,26241,791,8,55,38,58,41,70,33,130,112,107,62,74,77,89,80,84,77,52,26,30,7,5,9
South Korea,Busan,75,68591,10153,16316,791,3,13,6,9,6,17,5,12,27,26,24,23,19,14,21,14,10,23,4,8,1,1,1
South Korea,Chungcheongbuk-do,0,745267,745267,745267,5365,588,228,325,1000,454,692,731,1355,2037,1779,1202,1628,789,1832,2400,3069,2726,2696,2637,2708,1983,2703,3038
South Korea,Chungcheongbuk-do,10,745267,439860,424616,5365,544,216,291,906,408,592,663,1183,1809,1613,1127,1517,732,1688,2266,2874,2522,2548,2494,2535,1872,2463,2558
South Korea,Chungcheongbuk-do,15,745267,428348,406110,5365,536,214,287,898,404,584,655,1167,1789,1602,1121,1506,722,1668,2246,2846,2490,2520,2469,2502,1851,2427,2500
South Korea,Chungcheongbuk-do,20,745267,422800,402751,5365,533,213,284,889,400,578,648,1152,1771,1589,1115,1498,715,1654,2234,2831,2472,2503,2452,2482,1838,2403,2472
South Korea,Chungcheongbuk-do,25,745267,415761,395223,5365,531,212,279,883,396,570,642,1138,1751,1576,1109,1490,705,1635,2209,2802,2446,2474,2426,2452,1818,2373,2433
South Korea,Chungcheongbuk-do,30,745267,403619,381151,5365,529,212,278,878,393,566,639,1129,1739,1567,1106,1480,686,1604,2166,2749,2396,2426,2380,2393,1777,2317,2362
South Korea,Chungcheongbuk-do,50,745267,317724,292164,5365,449,187,233,761,316,452,547,926,1471,1393,1018,1319,508,1249,1727,2218,1899,1910,1894,1859,1421,1808,1810
South Korea,Chungcheongbuk-do,75,745267,79683,69403,5365,135,73,89,295,104,138,211,306,459,548,539,724,63,255,407,498,419,394,378,399,317,363,371
South Korea,Chungcheongnam-do,0,804979,804979,804979,7271,659,797,471,1079,934,1716,1116,1647,1929,1943,1793,1571,1220,1721,2248,3197,2719,3597,2670,2803,2833,2836,4001
South Korea,Chungcheongnam-do,10,804979,287828,267191,7271,543,705,368,878,751,1413,908,1295,1562,1610,1447,1337,1118,1572,2079,2853,2412,3220,2367,2483,2503,2477,3254
South Korea,Chungcheongnam-do,15,804979,274553,243675,7271,522,683,353,848,726,1367,878,1253,1524,1569,1404,1301,1101,1546,2047,2792,2363,3153,2314,2427,2448,2418,3158
South Korea,Chungcheongnam-do,20,804979,266448,239798,7271,496,663,335,805,694,1304,836,1186,1469,1519,1355,1272,1087,1527,2021,2749,2325,3097,2271,2386,2402,2374,3099
South Korea,Chungcheongnam-do,25,804979,257952,231883,7271,485,650,321,783,670,1267,814,1151,1433,1491,1330,1255,1066,1501,1985,2689,2277,3028,2222,2336,2345,2319,3029
South Korea,Chungcheongnam-do,30,804979,247310,213961,7271,479,646,316,774,660,1253,803,1135,1420,1479,1319,1238,1039,1464,1938,2611,2213,2938,2160,2262,2266,2244,2930
South Korea,Chungcheongnam-do,50,804979,151675,107319,7271,198,394,139,387,315,686,443,639,965,1075,953,869,646,951,1308,1647,1387,1819,1342,1421,1344,1350,1714
South Korea,Chungcheongnam-do,75,804979,16810,7082,7271,14,84,21,56,51,124,86,105,163,190,172,196,31,54,104,112,130,140,106,105,94,86,126
South Korea,Daegu,0,83794,83794,83794,564,20,14,3,28,40,41,27,27,123,28,14,47,25,24,26,36,19,55,28,5,9,33,23
South Korea,Daegu,10,83794,43356,42270,564,12,9,1,20,25,33,24,15,104,21,10,41,18,16,23,32,17,48,25,5,9,24,9
South Korea,Daegu,15,83794,42511,41001,564,11,9,1,19,24,33,23,14,102,21,10,40,17,16,22,31,16,47,25,5,9,22,9
South Korea,Daegu,20,83794,42092,40745,564,10,8,1,18,23,32,23,13,97,21,10,40,17,15,22,31,15,46,24,5,9,22,8
South Korea,Daegu,25,83794,41444,40212,564,10,7,1,18,21,31,22,13,93,20,9,39,15,14,22,30,14,44,24,5,8,22,8
South Korea,Daegu,30,83794,40382,39021,564,9,7,1,18,21,31,22,13,93,20,9,39,14,12,21,29,13,43,24,5,8,20,7
South Korea,Daegu,50,83794,33985,31007,564,4,2,0,12,14,22,13,8,69,12,6,30,9,4,17,23,9,32,22,3,7,14,6
South Korea,Daegu,75,83794,9741,5836,564,1,0,0,1,2,6,1,2,8,2,1,17,0,1,1,7,1,1,7,1,2,4,2
South Korea,Daejeon,0,49117,49117,49117,434,21,2,7,31,13,37,21,60,68,23,25,42,14,30,35,102,89,44,27,93,42,74,109
South Korea,Daejeon,10,49117,22460,20787,434,13,1,5,17,8,24,11,20,22,14,16,25,11,27,29,93,70,38,24,82,36,58,90
South Korea,Daejeon,15,49117,21539,19190,434,12,1,5,15,7,23,9,19,20,13,15,24,10,27,29,91,67,37,23,80,34,57,88
South Korea,Daejeon,20,49117,20993,18906,434,11,1,4,14,6,21,9,17,17,12,15,22,10,26,29,90,65,37,22,79,33,56,88
South Korea,Daejeon,25,49117,20306,18245,434,10,1,4,13,6,19,8,16,16,12,15,20,10,26,27,88,63,35,22,78,32,53,86
South Korea,Daejeon,30,49117,19295,16807,434,10,1,4,12,6,19,8,15,15,12,15,20,9,25,26,84,60,34,21,75,30,51,83
South Korea,Daejeon,50,49117,11945,8124,434,2,1,2,5,2,8,4,6,9,7,12,11,5,18,14,59,40,23,14,56,16,37,61
South Korea,Daejeon,75,49117,694,347,434,0,0,0,1,0,0,0,1,1,0,7,1,0,1,1,5,3,2,0,2,1,3,4
South Korea,Gangwon-do,0,1774114,1774114,1774114,38447,1596,1023,451,2517,2174,2244,2320,2804,3387,3635,2782,3237,1563,2534,4235,5240,5005,5005,6371,5263,4491,6554,4874
South Korea,Gangwon-do,10,1774114,1390507,1392529,38447,1553,989,435,2393,2083,2117,2202,2647,3211,3504,2724,3178,1501,2448,4122,5066,4817,4852,6077,4881,4287,6180,4490
